[2025-12-23][20:26:29][gungameserver::server][INFO] Starting HTTP server on 0.0.0.0:8080
[2025-12-25][01:45:21][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:21][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:21][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:21][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:21][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:21][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:21][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:21][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:22][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:22][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:22][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:22][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:22][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:22][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:22][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:22][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:22][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:22][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:23][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:23][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:23][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:23][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:23][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:23][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:23][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:23][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:23][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:23][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:24][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:24][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:24][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:24][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:24][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:24][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:24][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:24][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:24][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:24][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:25][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:25][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:25][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:25][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:25][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:25][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:25][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:25][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:25][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:25][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:26][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:26][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:26][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:26][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:26][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:26][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:26][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:26][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:26][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:26][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:27][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:27][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:27][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:27][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:27][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:27][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:27][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:27][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:27][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:27][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:28][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:28][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:28][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:28][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:28][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:28][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:28][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:28][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:28][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:28][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:29][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:29][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:29][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:29][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:29][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:29][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:29][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:29][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:29][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:29][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:30][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:30][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:30][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:30][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:30][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:30][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:30][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:30][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:30][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:30][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:31][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:31][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:31][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:31][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:31][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:31][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:31][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:31][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:31][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:31][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:32][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:32][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:32][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:32][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:32][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:32][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:32][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:32][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:32][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:32][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:33][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:33][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:33][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:33][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:33][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:33][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:33][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:33][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:33][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:33][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:34][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:34][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:34][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:34][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:34][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:34][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:34][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:34][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:34][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:34][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:35][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:35][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:35][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:35][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:35][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:35][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:35][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:35][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:35][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:35][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:36][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:36][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:36][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:36][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:36][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:36][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:36][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:36][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:36][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:36][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:37][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:37][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:37][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:37][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:37][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:37][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:37][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:37][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:37][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:38][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:38][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:38][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:38][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:38][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:38][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:38][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:38][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:38][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:38][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:39][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:39][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:39][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:39][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:39][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:39][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:39][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:39][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:39][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:39][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:40][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:40][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:40][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:40][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:40][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:40][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:40][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:40][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:40][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:40][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:40][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:41][gungameserver::tick::lobby_tick][DEBUG] Weapon switch failed for player 3: Player not found
[2025-12-25][01:45:41][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:41][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:41][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:41][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:41][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:41][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
[2025-12-25][01:45:41][gungameserver::handlers::udp][DEBUG] UDP packet for unknown lobby: None
